task_id,workload,crp_id,node_id,crp_type,fraction,price,payment,cost,crp_profit
task_11,0.274468,crp_23,node_23,price_setting,0.061848,17870.854611,5.149718,4.528805,0.620913
task_11,0.274468,crp_25,node_25,price_setting,0.060826,18230.538886,5.081159,4.455874,0.625285
task_11,0.274468,crp_29,node_29,price_setting,0.05792,18955.146893,4.79037,4.177239,0.613131
task_12,0.321666,crp_3,node_3,price_setting,0.071629,14370.216881,7.628693,6.904713,0.72398
task_12,0.321666,crp_5,node_5,price_setting,0.071556,14712.422842,7.794403,7.034161,0.760242
task_12,0.321666,crp_8,node_8,price_setting,0.069009,15228.995547,7.503962,6.742616,0.761346
task_12,0.321666,crp_11,node_11,price_setting,0.065661,15749.496447,7.02574,6.285594,0.740145
task_12,0.321666,crp_16,node_16,price_setting,0.062478,16625.755082,6.714939,5.96451,0.750429
task_12,0.321666,crp_18,node_18,price_setting,0.061599,16979.318998,6.666223,5.904324,0.7619
task_12,0.321666,crp_19,node_19,price_setting,0.061682,17156.760506,6.754014,5.973547,0.780467
task_12,0.321666,crp_20,node_20,price_setting,0.061267,17334.632512,6.73248,5.946021,0.786459
task_12,0.321666,crp_23,node_23,price_setting,0.059217,17870.878825,6.484008,5.702209,0.781799
task_12,0.321666,crp_25,node_25,price_setting,0.058192,18230.56197,6.387598,5.601537,0.786062
task_12,0.321666,crp_29,node_29,price_setting,0.055547,18955.168045,6.051547,5.276989,0.774558
task_13,0.735144,crp_3,node_3,price_setting,0.070558,14370.969249,38.665521,34.994243,3.671278
task_13,0.735144,crp_5,node_5,price_setting,0.069931,14713.153961,38.885448,35.090936,3.794512
task_13,0.735144,crp_8,node_8,price_setting,0.067487,15229.669622,37.486768,33.681898,3.80487
task_13,0.735144,crp_11,node_11,price_setting,0.064585,15750.109107,35.504781,31.7632,3.741581
task_13,0.735144,crp_16,node_16,price_setting,0.061358,16626.298174,33.828328,30.046857,3.78147
task_13,0.735144,crp_18,node_18,price_setting,0.060347,16979.840117,33.418469,29.598078,3.820391
task_13,0.735144,crp_19,node_19,price_setting,0.060177,17157.275862,33.577531,29.696552,3.88098
task_13,0.735144,crp_20,node_20,price_setting,0.059696,17335.137622,33.386098,29.48522,3.900878
task_13,0.735144,crp_23,node_23,price_setting,0.057771,17871.347332,32.234091,28.346775,3.887316
task_13,0.735144,crp_25,node_25,price_setting,0.056721,18231.010338,31.698525,27.797002,3.901523
task_13,0.735144,crp_29,node_29,price_setting,0.054287,18955.57375,30.190576,26.32582,3.864756
